20MICRONS,20161104,43.3,43.7,39.75,41,610389,0
3IINFOTECH,20161104,6.6,6.6,6,6.1,4564822,0
3MINDIA,20161104,13135,13135,12374.4,12735.45,2543,0
8KMILES,20161104,780,782,750,762.2,39608,0
A2ZINFRA,20161104,45.5,45.7,41.1,42.15,1559515,0
AARTIDRUGS,20161104,644,644.05,591,615.5,30999,0
AARTIIND,20161104,742.05,758.75,731,739.1,60792,0
AARVEEDEN,20161104,99,99,90,90.9,27682,0
ABAN,20161104,249.9,254,237.6,239.5,1633191,0
ABB,20161104,1090,1091,1044,1088.5,35661,0
ABBOTINDIA,20161104,4652.7,4789.9,4646,4697.3,2138,0
ABFRL,20161104,155.5,156.5,148.35,149.95,2064194,0
ABGSHIP,20161104,37.7,37.9,33.5,34.65,1537120,0
ABIRLANUVO,20161104,1319.7,1323.05,1269.45,1283.2,418155,0
ACC,20161104,1511.7,1526.35,1474.1,1490.05,362809,0
ACCELYA,20161104,1380,1384.9,1302,1376,1660,0
ACE,20161104,55.2,56.3,48.8,50.55,1013667,0
ADANIENT,20161104,64.7,65,61.8,62.4,2569558,0
ADANIPORTS,20161104,289,291.85,284.25,287.7,6331988,0
ADANIPOWER,20161104,26.35,26.65,25.2,25.35,7184973,0
ADANITRANS,20161104,45.85,45.9,44.5,45.55,1283711,0
ADFFOODS,20161104,166.85,173.2,155.05,156.3,307013,0
ADHUNIK,20161104,7.85,8.1,7.55,7.65,179147,0
ADHUNIKIND,20161104,115,117.9,110.5,112,46032,0
ADI,20161104,517.05,522,491,502.8,11668,0
ADLABS,20161104,98.9,99.8,94,95,225961,0
ADORWELD,20161104,312,314.95,293,294.3,18656,0
ADSL,20161104,32,32.45,30.75,31.2,145985,0
ADVANIHOTR,20161104,56.2,58.5,51.95,56.95,6704,0
ADVENZYMES,20161104,2000,2020,1876,1890.4,320698,0
AEGISCHEM,20161104,160,163,152,154.1,260469,0
AFL,20161104,66,66.45,61.6,63.5,33977,0
AGARIND,20161104,335.15,343,325.5,328.35,37896,0
AGCNET,20161104,106.45,113.6,96.5,99.3,235229,0
AGRITECH,20161104,40,41,37.35,38,5505,0
AHLEAST,20161104,212,220,207,210,2334,0
AHLUCONT,20161104,282,289,275.55,281.3,5124,0
AHLWEST,20161104,210.1,216.9,210,210,1408,0
AIAENG,20161104,1281,1281,1240,1245.95,13308,0
AICHAMP,20161104,29.1,29.1,26.4,28,174,0
AIFL,20161104,415,429.8,414,421.4,77120,0
AJANTPHARM,20161104,1942,1942,1852,1876.85,135203,0
AJMERA,20161104,147.9,149.5,141.95,144,44979,0
AKSHOPTFBR,20161104,28.95,29.7,26.45,27.6,10662703,0
AKZOINDIA,20161104,1660.45,1660.45,1630,1635.2,3666,0
ALANKIT,20161104,65.8,66.55,62,62.65,572180,0
ALBERTDAVD,20161104,371.5,371.5,341,347.65,10759,0
ALBK,20161104,74.4,74.6,70.85,72.2,6439756,0
ALCHEM,20161104,25.2,25.2,24,24,9112,0
ALEMBICLTD,20161104,39.3,39.55,37.6,38.15,303965,0
ALICON,20161104,438,444,416.05,436.5,7757,0
ALKALI,20161104,85.85,85.85,77.1,79.45,16712,0
ALKEM,20161104,1607,1642,1565,1577.4,27317,0
ALKYLAMINE,20161104,336,336,320,323.5,12603,0
ALLCARGO,20161104,199,202,188.15,192.2,267882,0
ALLSEC,20161104,317.05,318.9,298,304.55,25843,0
ALMONDZ,20161104,16.45,16.5,15.6,16.1,12118,0
ALOKTEXT,20161104,3.3,3.35,3.2,3.2,2731421,0
ALPA,20161104,41.45,41.5,38.95,38.95,24185,0
ALPHAGEO,20161104,981.45,998,952.5,980.05,16065,0
ALPSINDUS,20161104,7.15,7.55,6.6,6.75,73969,0
AMARAJABAT,20161104,1024,1049.7,1000.7,1007.45,399158,0
AMBIKCO,20161104,1009,1020,990.05,1003.35,12943,0
AMBUJACEM,20161104,242.95,245.9,238.05,240.85,3607951,0
AMDIND,20161104,39.2,39.25,34.7,36,46184,0
AMRUTANJAN,20161104,580.3,589.9,559.2,575.8,31432,0
AMTEKAUTO,20161104,42.55,42.7,39.6,40.3,1669215,0
AMTL,20161104,29.8,30.45,26.2,29.15,14019,0
ANANTRAJ,20161104,53.25,53.45,50.05,50.4,988651,0
ANDHRABANK,20161104,53.1,53.4,51.85,52.1,1826627,0
ANDHRACEMT,20161104,8.5,8.6,7.95,8.1,446637,0
ANDHRSUGAR,20161104,245.25,248.1,227.55,232.65,153361,0
ANGIND,20161104,13.75,14.2,13,13.55,75627,0
ANIKINDS,20161104,26.6,26.6,26.05,26.05,2150,0
ANKITMETAL,20161104,2.45,2.45,2.2,2.25,351906,0
ANSALAPI,20161104,19.7,19.7,18.5,18.55,61433,0
ANSALHSG,20161104,27.45,27.45,25.6,25.7,25258,0
ANTGRAPHIC,20161104,1.2,1.2,1.2,1.2,9004,0
APARINDS,20161104,576,576,556,557.35,17787,0
APCOTEXIND,20161104,369,372.95,358,361.55,17455,0
APLAPOLLO,20161104,923.85,935,920,929.6,20319,0
APLLTD,20161104,666,672.95,651.8,656.45,81444,0
APOLLOHOSP,20161104,1285,1295,1255,1285.6,126910,0
APOLLOTYRE,20161104,198.15,200.95,190.1,193.15,2504600,0
APOLSINHOT,20161104,315,315.5,315,315.5,460,0
APTECHT,20161104,194.9,194.9,176.45,181.5,1482973,0
ARCHIDPLY,20161104,68.7,68.8,62.5,63.55,113510,0
ARCHIES,20161104,24.45,24.65,23.15,23.6,68135,0
ARCOTECH,20161104,364,368,355.1,360.1,102523,0
ARIES,20161104,127,129.7,118,119.55,85020,0
ARIHANT,20161104,66.2,66.85,58,59.75,5560,0
ARMANFIN,20161104,272,272,252.1,256,11468,0
AROGRANITE,20161104,78.2,79.5,73.1,73.7,91053,0
ARROWGREEN,20161104,440,444.9,415,417.85,8276,0
ARROWTEX,20161104,43.5,44.55,41.5,41.55,53502,0
ARSHIYA,20161104,33.5,33.5,30.25,31.05,48343,0
ARSSINFRA,20161104,79.35,79.35,73.05,75.35,220901,0
ARVIND,20161104,406,406.65,390,398.65,2466097,0
ARVINFRA,20161104,89.85,90,83.9,85.75,79097,0
ASAHIINDIA,20161104,191.05,194.05,189.95,192.15,13617,0
ASAHISONG,20161104,244.5,250,226.1,239.6,60345,0
ASAL,20161104,63.3,63.3,61,61.4,8067,0
ASHAPURMIN,20161104,68.9,69.05,65.6,66.1,156894,0
ASHIANA,20161104,145.15,146.95,141,142.75,18171,0
ASHIMASYN,20161104,15.5,15.95,14.8,15.45,381516,0
ASHOKA,20161104,160,161.8,155.7,157.2,85292,0
ASHOKLEY,20161104,91.95,92.45,89.2,90.9,13973645,0
ASIANHOTNR,20161104,109,114.6,103.65,107.7,1046,0
ASIANPAINT,20161104,1039.2,1054.8,1035.1,1043.05,976222,0
ASIANTILES,20161104,269.9,270,258.6,259.85,68985,0
ASPINWALL,20161104,205.1,207,196,204.5,2942,0
ASSAMCO,20161104,5.45,5.5,5.25,5.35,380275,0
ASTEC,20161104,647,657.7,598,611.25,308808,0
ASTRAL,20161104,434.95,436.55,420,422.65,11865,0
ASTRAMICRO,20161104,116.9,117.35,113.1,114.5,248354,0
ASTRAZEN,20161104,995,1014,951,972.1,7550,0
ATFL,20161104,482.9,482.9,455.25,458.45,13885,0
ATLANTA,20161104,71.5,71.75,65.95,67.9,328436,0
ATLASCYCLE,20161104,376.7,391.8,353.1,355.9,183004,0
ATNINTER,20161104,0.35,0.4,0.35,0.4,1537,0
ATUL,20161104,2232.5,2254,2160,2173.1,16177,0
ATULAUTO,20161104,489.8,489.8,473,478.65,17618,0
AURIONPRO,20161104,116.35,117,111,113.45,7475,0
AUROPHARMA,20161104,761.1,769,707.5,728.1,5798528,0
AUSOMENT,20161104,23.1,24,22.65,24,1515,0
AUSTRAL,20161104,0.35,0.4,0.35,0.35,51594,0
AUTOAXLES,20161104,737.5,737.5,695,705.55,16603,0
AUTOIND,20161104,59,59.15,55.05,56.5,41919,0
AUTOLITIND,20161104,60.45,61.5,59,60.1,16585,0
AVANTIFEED,20161104,515,526.5,505.1,519.25,50628,0
AVTNPL,20161104,36.55,37.1,34.2,34.6,157067,0
AXISBANK,20161104,474.4,485.7,474.2,478.7,10868004,0
AXISCADES,20161104,215.8,218.25,202.95,204.3,213993,0
AXISGOLD,20161104,2807.05,2898,2807.05,2817.25,95,0
AYMSYNTEX,20161104,82,82,76.65,77.75,56803,0
BAFNAPHARM,20161104,32.5,32.75,30.35,31.4,63903,0
BAGFILMS,20161104,5.4,5.55,5.1,5.2,305078,0
BAJAJ-AUTO,20161104,2829.9,2850,2805.5,2814.3,223620,0
BAJAJCORP,20161104,400,403.35,395,396.4,25913,0
BAJAJELEC,20161104,256.95,259.3,248,249.2,103519,0
BAJAJFINSV,20161104,3347.8,3360,3181,3196.7,233335,0
BAJAJHIND,20161104,16.6,16.65,15.8,15.85,1222709,0
BAJAJHLDNG,20161104,2195,2205,2173,2190.1,31242,0
BAJFINANCE,20161104,1035,1036.2,970.1,993.15,1666744,0
